,name,semester,program_id,credits,hours_lecture,seminar_lecture,estimation_in_diploma,exam,test,description,url
1,Математический Анализ 1,1,1,8,4,4,FALSE,TRUE,TRUE,Первая часть общего курса математического анализа,1
2,Алгебра 1,1,1,6,3,3,ЛОЖЬ,ИСТИНА,ИСТИНА,Первая часть общего курса высшей алгебры,1
3,Аналитическая Геометрия,1,1,8,4,4,ИСТИНА,ИСТИНА,ИСТИНА,Классический курс по аналитической геометрии,1
4,Элементы Теории Чисел,1,1,4,2,2,ЛОЖЬ,ЛОЖЬ,ИСТИНА,Введение в общую теорию чисел,1
5,Программирование 1,1,1,4,2,2,ЛОЖЬ,ЛОЖЬ,ИСТИНА,Первая часть общего курса по программированию ,1
6,Математический Анализ 2,2,1,8,4,4,ЛОЖЬ,ИСТИНА,ИСТИНА,Вторая часть курса по математическому анализу,1
7,Иностранный Язык 1,2,1,4,0,4,ЛОЖЬ,ЛОЖЬ,ИСТИНА,Первая часть курса иностранного языка для математиков,1
8,Линейная Алгебра и Геометри,2,1,8,4,4,ИСТИНА,ИСТИНА,ИСТИНА,Классический курс линейной алгебры,1
9,Наглядная Геоиетрия и Топология,2,1,4,2,2,ИСТИНА,ИСТИНА,ЛОЖЬ,Введение в общую топологию и основы наглядной геометрии,1
10,Теория Дискретных Функций,2,1,3,"1,5","1,5",ИСТИНА,ИСТИНА,ЛОЖЬ,Введение в теорию дискретных функций и основы дискретной математики,1
11,Программирование 2,2,1,3,"1,5","1,5",ЛОЖЬ,ЛОЖЬ,ИСТИНА,Вторая часть курса по основам программирования,1
12,Иностранный Язык 2,3,1,4,0,4,ЛОЖЬ,ЛОЖЬ,ИСТИНА,Вторая часть курса по иностранному языку для математиков,1
13,Математический Анализ 3,3,1,8,4,4,ЛОЖЬ,ИСТИНА,ИСТИНА,Третья часть курса по математическому анализу,1
14,Алгебра 2,3,1,5,"2,5","2,5",ИСТИНА,ИСТИНА,ИСТИНА,Вторая часть курса общей алгебры,1
15,Введение в топологию ,3,1,3,"1,5","1,5",ИСТИНА,ИСТИНА,ЛОЖЬ,Введение в общую топологию,1
16,Дифференциальные Уравнения 1,3,1,4,2,2,ЛОЖЬ,ЛОЖЬ,ИСТИНА,Курс по классическим дифференцияльным уравнениям,1
17,Логика и Теория Алгоритмов,3,1,3,"1,5","1,5",ИСТИНА,ИСТИНА,ЛОЖЬ,Введение в математическую логику и теорию алгоритмов,1
18,Прогрммирование 3,3,1,5,2,3,ИСТИНА,ИСТИНА,ЛОЖЬ,Третья часть курса по основам программирования,1
19,Иностранный язык 3,4,1,4,0,4,ЛОЖЬ,ЛОЖЬ,ИСТИНА,Третья часть курса иностранного языка для математиков,1
20,Математический Анализ 4,4,1,8,4,4,ИСТИНА,ИСТИНА,ИСТИНА,Четвертая часть курса по математическому анализу,1
21,Действительный Анализ,4,1,4,2,2,ИСТИНА,ИСТИНА,ЛОЖЬ,Курс по действительному анализу,1
22,Дифференциальная Геметрия,4,1,4,2,2,ИСТИНА,ИСТИНА,ИСТИНА,Введение в дифференциальную геометрию,1
23,Дифференциальные Уравнения 2,4,1,4,2,2,ИСТИНА,ИСТИНА,ЛОЖЬ,Вторая часть курса по общим дифференциальным уравнениям,1
24,Теория Вероятностей,4,1,4,2,2,ИСТИНА,ИСТИНА,ИСТИНА,Общий курс по теории вероятностей,1
25,Программирование 4,4,1,3,"1,5","1,5",ЛОЖЬ,ЛОЖЬ,ИСТИНА,Четвертая часть курса по основам программирования,1
